,Species,Fertilization,Reproduction,ParentalCare,AddInfo,Mouthbrooder
189,Ostorhinchus nigripes,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
190,Ostorhinchus nigrocincta,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
191,Ostorhinchus nigrofasciatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
192,Ostorhinchus norfolcensis,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
193,Ostorhinchus notatus,external,external brooders,paternal,"Clutches of eggs from a single female are mouthbrooded by males (Ref. 57684).  Distinct pairing (obligate monogamy) during courtship and spawning (Ref. 205, 52884).  Multiple spawner with 10-19 days interval between matings (Ref. 38747).  Females attack conspecifics during courtship (Ref. 57684).  The operational sex ratio is male biased all throughout the breeding season primarily due to a higher mortality in females, thus sex-role reversal is not predicted for this species (Ref. 57684).",Y
194,Ostorhinchus novemfasciatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
195,Ostorhinchus ocellicaudus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
196,Ostorhinchus oxina,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
197,Ostorhinchus pallidofasciatus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
198,Ostorhinchus parvulus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
199,Ostorhinchus properuptus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
200,Ostorhinchus pselion,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
201,Ostorhinchus radcliffei,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
202,Ostorhinchus relativus,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
203,Ostorhinchus rubrimacula,external,external brooders,NA,Mouthbrooders (Ref. 240). Distinct pairing during courtship and spawning (Ref. 205).,Y
